Notes,County,County Code,Deaths,Population,Crude Rate,Deaths,Population,Crude Rate
"Kenton County, KY",21117,Black or African American,2054-5,,,27,1370,1970.8
"Kenton County, KY",21117,Other Race,2131-1,Male,M,1,80,1250.0 (Unreliable)
"Kenton County, KY",21117,Other Race,2131-1,,,1,178,561.8 (Unreliable)
"Kenton County, KY",21117,White,2106-3,Female,F,345,30020,1149.2
"Kenton County, KY",21117,White,2106-3,Male,M,305,23940,1274
"Kenton County, KY",21117,White,2106-3,,,650,53960,1204.6
"Kenton County, KY",21117,,,,,678,55508,1221.4
"Knott County, KY",21119,Black or African American,2054-5,Female,F,1,24,4166.7 (Unreliable)
"Knott County, KY",21119,Black or African American,2054-5,Male,M,1,19,5263.2 (Unreliable)
"Knott County, KY",21119,Black or African American,2054-5,,,2,43,4651.2 (Unreliable)
"Knott County, KY",21119,White,2106-3,Female,F,31,3350,925.4
"Knott County, KY",21119,White,2106-3,Male,M,57,3030,1881.2
"Knott County, KY",21119,White,2106-3,,,88,6380,1379.3
"Knott County, KY",21119,,,,,90,6426,1400.6
"Knox County, KY",21121,Black or African American,2054-5,Female,F,3,85,3529.4 (Unreliable)
"Knox County, KY",21121,Black or African American,2054-5,Male,M,1,57,1754.4 (Unreliable)
"Knox County, KY",21121,Black or African American,2054-5,,,4,142,2816.9 (Unreliable)
"Knox County, KY",21121,White,2106-3,Female,F,67,6450,1038.8
"Knox County, KY",21121,White,2106-3,Male,M,76,5483,1386.1
"Knox County, KY",21121,White,2106-3,,,143,11933,1198.4
"Knox County, KY",21121,,,,,147,12100,1214.9
"Larue County, KY",21123,Black or African American,2054-5,Female,F,2,129,1550.4 (Unreliable)
"Larue County, KY",21123,Black or African American,2054-5,Male,M,2,108,1851.9 (Unreliable)
"Larue County, KY",21123,Black or African American,2054-5,,,4,237,1687.8 (Unreliable)
"Larue County, KY",21123,White,2106-3,Female,F,26,2816,923.3
"Larue County, KY",21123,White,2106-3,Male,M,37,2498,1481.2
"Larue County, KY",21123,White,2106-3,,,63,5314,1185.5
"Larue County, KY",21123,,,,,67,5559,1205.3
"Laurel County, KY",21125,White,2106-3,Female,F,86,8171,1052.5
"Laurel County, KY",21125,White,2106-3,Male,M,85,7269,1169.3
"Laurel County, KY",21125,White,2106-3,,,171,15440,1107.5
"Laurel County, KY",21125,,,,,171,15584,1097.3
"Lawrence County, KY",21127,Black or African American,2054-5,Female,F,1,13,7692.3 (Unreliable)
"Lawrence County, KY",21127,Black or African American,2054-5,,,1,24,4166.7 (Unreliable)
"Lawrence County, KY",21127,White,2106-3,Female,F,34,3054,1113.3
"Lawrence County, KY",21127,White,2106-3,Male,M,40,2817,1420
"Lawrence County, KY",21127,White,2106-3,,,74,5871,1260.4
"Lawrence County, KY",21127,,,,,75,5903,1270.5
"Lee County, KY",21129,White,2106-3,Female,F,14,1818,770.1 (Unreliable)
"Lee County, KY",21129,White,2106-3,Male,M,24,1650,1454.5
"Lee County, KY",21129,White,2106-3,,,38,3468,1095.7
"Lee County, KY",21129,,,,,38,3490,1088.8
"Leslie County, KY",21131,White,2106-3,Female,F,12,2560,468.8 (Unreliable)
"Leslie County, KY",21131,White,2106-3,Male,M,22,2505,878.2
"Leslie County, KY",21131,White,2106-3,,,34,5065,671.3
"Leslie County, KY",21131,,,,,34,5069,670.7
"Letcher County, KY",21133,Black or African American,2054-5,Female,F,1,78,1282.1 (Unreliable)
"Letcher County, KY",21133,Black or African American,2054-5,Male,M,2,57,3508.8 (Unreliable)
"Letcher County, KY",21133,Black or African American,2054-5,,,3,135,2222.2 (Unreliable)
"Letcher County, KY",21133,White,2106-3,Female,F,53,6173,858.6
"Letcher County, KY",21133,White,2106-3,Male,M,55,5446,1009.9
"Letcher County, KY",21133,White,2106-3,,,108,11619,929.5
"Letcher County, KY",21133,,,,,111,11785,941.9
"Lewis County, KY",21135,Black or African American,2054-5,Female,F,1,8,12500.0 (Unreliable)
"Lewis County, KY",21135,Black or African American,2054-5,,,1,11,9090.9 (Unreliable)
"Lewis County, KY",21135,White,2106-3,Female,F,34,2891,1176.1
"Lewis County, KY",21135,White,2106-3,Male,M,48,2811,1707.6
"Lewis County, KY",21135,White,2106-3,,,82,5702,1438.1
"Lewis County, KY",21135,,,,,83,5718,1451.6
"Lincoln County, KY",21137,Black or African American,2054-5,Female,F,2,195,1025.6 (Unreliable)
"Lincoln County, KY",21137,Black or African American,2054-5,Male,M,3,178,1685.4 (Unreliable)
"Lincoln County, KY",21137,Black or African American,2054-5,,,5,373,1340.5 (Unreliable)
"Lincoln County, KY",21137,White,2106-3,Female,F,48,4181,1148.1
"Lincoln County, KY",21137,White,2106-3,Male,M,46,3845,1196.4
"Lincoln County, KY",21137,White,2106-3,,,94,8026,1171.2
"Lincoln County, KY",21137,,,,,99,8411,1177
"Livingston County, KY",21139,White,2106-3,Female,F,27,2235,1208.1
"Livingston County, KY",21139,White,2106-3,Male,M,36,2053,1753.5
"Livingston County, KY",21139,White,2106-3,,,63,4288,1469.2
"Livingston County, KY",21139,,,,,63,4303,1464.1
"Logan County, KY",21141,Black or African American,2054-5,Female,F,9,485,1855.7 (Unreliable)
"Logan County, KY",21141,Black or African American,2054-5,Male,M,8,378,2116.4 (Unreliable)
"Logan County, KY",21141,Black or African American,2054-5,,,17,863,1969.9 (Unreliable)
"Logan County, KY",21141,White,2106-3,Female,F,54,5487,984.1
"Logan County, KY",21141,White,2106-3,Male,M,72,4824,1492.5
"Logan County, KY",21141,White,2106-3,,,126,10311,1222
"Logan County, KY",21141,,,,,143,11191,1277.8
"Lyon County, KY",21143,White,2106-3,Female,F,10,1565,639.0 (Unreliable)
"Lyon County, KY",21143,White,2106-3,Male,M,21,1590,1320.8
"Lyon County, KY",21143,White,2106-3,,,31,3155,982.6
"Lyon County, KY",21143,,,,,31,3286,943.4
"McCracken County, KY",21145,Black or African American,2054-5,Female,F,19,1282,1482.1 (Unreliable)
"McCracken County, KY",21145,Black or African American,2054-5,Male,M,36,934,3854.4
"McCracken County, KY",21145,Black or African American,2054-5,,,55,2216,2481.9
"McCracken County, KY",21145,White,2106-3,Female,F,177,14591,1213.1
"McCracken County, KY",21145,White,2106-3,Male,M,155,11671,1328.1
"McCracken County, KY",21145,White,2106-3,,,332,26262,1264.2
"McCracken County, KY",21145,,,,,387,28566,1354.8
"McCreary County, KY",21147,White,2106-3,Female,F,32,3099,1032.6
"McCreary County, KY",21147,White,2106-3,Male,M,44,2741,1605.3
"McCreary County, KY",21147,White,2106-3,,,76,5840,1301.4
"McCreary County, KY",21147,,,,,76,5872,1294.3
"McLean County, KY",21149,White,2106-3,Female,F,38,2403,1581.4
"McLean County, KY",21149,White,2106-3,Male,M,44,2197,2002.7
"McLean County, KY",21149,White,2106-3,,,82,4600,1782.6
"McLean County, KY",21149,,,,,82,4621,1774.5
"Madison County, KY",21151,Black or African American,2054-5,Female,F,9,568,1584.5 (Unreliable)
"Madison County, KY",21151,Black or African American,2054-5,Male,M,7,439,1594.5 (Unreliable)
"Madison County, KY",21151,Black or African American,2054-5,,,16,1007,1588.9 (Unreliable)
"Madison County, KY",21151,White,2106-3,Female,F,85,9320,912
"Madison County, KY",21151,White,2106-3,Male,M,101,7916,1275.9
"Madison County, KY",21151,White,2106-3,,,186,17236,1079.1
"Madison County, KY",21151,,,,,202,18305,1103.5
"Magoffin County, KY",21153,White,2106-3,Female,F,16,2441,655.5 (Unreliable)
"Magoffin County, KY",21153,White,2106-3,Male,M,32,2360,1355.9
"Magoffin County, KY",21153,White,2106-3,,,48,4801,999.8
"Magoffin County, KY",21153,,,,,48,4808,998.3
"Marion County, KY",21155,Black or African American,2054-5,Female,F,3,264,1136.4 (Unreliable)
"Marion County, KY",21155,Black or African American,2054-5,Male,M,4,207,1932.4 (Unreliable)
"Marion County, KY",21155,Black or African American,2054-5,,,7,471,1486.2 (Unreliable)
"Marion County, KY",21155,White,2106-3,Female,F,35,3516,995.4
"Marion County, KY",21155,White,2106-3,Male,M,48,2974,1614
"Marion County, KY",21155,White,2106-3,,,83,6490,1278.9
"Marion County, KY",21155,,,,,90,6968,1291.6
"Marshall County, KY",21157,White,2106-3,Female,F,58,6614,876.9
"Marshall County, KY",21157,White,2106-3,Male,M,61,5945,1026.1
"Marshall County, KY",21157,White,2106-3,,,119,12559,947.5
"Marshall County, KY",21157,,,,,119,12587,945.4
"Martin County, KY",21159,White,2106-3,Female,F,15,2238,670.2 (Unreliable)
"Martin County, KY",21159,White,2106-3,Male,M,18,2207,815.6 (Unreliable)
"Martin County, KY",21159,White,2106-3,,,33,4445,742.4
"Martin County, KY",21159,,,,,33,4454,740.9
"Mason County, KY",21161,Black or African American,2054-5,Female,F,5,322,1552.8 (Unreliable)
"Mason County, KY",21161,Black or African American,2054-5,Male,M,5,259,1930.5 (Unreliable)
"Mason County, KY",21161,Black or African American,2054-5,,,10,581,1721.2 (Unreliable)
"Mason County, KY",21161,White,2106-3,Female,F,47,4136,1136.4
"Mason County, KY",21161,White,2106-3,Male,M,69,3404,2027
"Mason County, KY",21161,White,2106-3,,,116,7540,1538.5
"Mason County, KY",21161,,,,,126,8130,1549.8
"Meade County, KY",21163,Black or African American,2054-5,Female,F,1,119,840.3 (Unreliable)
"Meade County, KY",21163,Black or African American,2054-5,Male,M,1,136,735.3 (Unreliable)
"Meade County, KY",21163,Black or African American,2054-5,,,2,255,784.3 (Unreliable)
"Meade County, KY",21163,Other Race,2131-1,Female,F,1,37,2702.7 (Unreliable)
"Meade County, KY",21163,Other Race,2131-1,,,1,49,2040.8 (Unreliable)
"Meade County, KY",21163,White,2106-3,Female,F,11,3181,345.8 (Unreliable)
"Meade County, KY",21163,White,2106-3,Male,M,34,3161,1075.6
"Meade County, KY",21163,White,2106-3,,,45,6342,709.6
"Meade County, KY",21163,,,,,48,6646,722.2
"Menifee County, KY",21165,White,2106-3,Female,F,6,1014,591.7 (Unreliable)
"Menifee County, KY",21165,White,2106-3,Male,M,16,974,1642.7 (Unreliable)
"Menifee County, KY",21165,White,2106-3,,,22,1988,1106.6
"Menifee County, KY",21165,,,,,22,1993,1103.9
"Mercer County, KY",21167,Black or African American,2054-5,Female,F,1,202,495.0 (Unreliable)
"Mercer County, KY",21167,Black or African American,2054-5,Male,M,2,152,1315.8 (Unreliable)
"Mercer County, KY",21167,Black or African American,2054-5,,,3,354,847.5 (Unreliable)
"Mercer County, KY",21167,White,2106-3,Female,F,35,4439,788.5
"Mercer County, KY",21167,White,2106-3,Male,M,56,3892,1438.8
"Mercer County, KY",21167,White,2106-3,,,91,8331,1092.3
"Mercer County, KY",21167,,,,,94,8692,1081.5
"Metcalfe County, KY",21169,Black or African American,2054-5,Female,F,1,65,1538.5 (Unreliable)
"Metcalfe County, KY",21169,Black or African American,2054-5,Male,M,2,66,3030.3 (Unreliable)
"Metcalfe County, KY",21169,Black or African American,2054-5,,,3,131,2290.1 (Unreliable)
"Metcalfe County, KY",21169,White,2106-3,Female,F,22,2261,973
"Metcalfe County, KY",21169,White,2106-3,Male,M,35,2073,1688.4
"Metcalfe County, KY",21169,White,2106-3,,,57,4334,1315.2
"Metcalfe County, KY",21169,,,,,60,4469,1342.6
"Monroe County, KY",21171,Black or African American,2054-5,Female,F,1,72,1388.9 (Unreliable)
"Monroe County, KY",21171,Black or African American,2054-5,Male,M,5,70,7142.9 (Unreliable)
"Monroe County, KY",21171,Black or African American,2054-5,,,6,142,4225.4 (Unreliable)
"Monroe County, KY",21171,White,2106-3,Female,F,30,3007,997.7
"Monroe County, KY",21171,White,2106-3,Male,M,44,2637,1668.6
"Monroe County, KY",21171,White,2106-3,,,74,5644,1311.1
"Monroe County, KY",21171,,,,,80,5792,1381.2
"Montgomery County, KY",21173,Black or African American,2054-5,Female,F,1,276,362.3 (Unreliable)
"Montgomery County, KY",21173,Black or African American,2054-5,Male,M,4,196,2040.8 (Unreliable)
"Montgomery County, KY",21173,Black or African American,2054-5,,,5,472,1059.3 (Unreliable)
"Montgomery County, KY",21173,White,2106-3,Female,F,38,4058,936.4
"Montgomery County, KY",21173,White,2106-3,Male,M,45,3538,1271.9
"Montgomery County, KY",21173,White,2106-3,,,83,7596,1092.7
"Montgomery County, KY",21173,,,,,88,8078,1089.4
"Morgan County, KY",21175,White,2106-3,Female,F,32,2539,1260.3
"Morgan County, KY",21175,White,2106-3,Male,M,27,2378,1135.4
"Morgan County, KY",21175,White,2106-3,,,59,4917,1199.9
"Morgan County, KY",21175,,,,,59,4918,1199.7
"Muhlenberg County, KY",21177,Black or African American,2054-5,Female,F,6,284,2112.7 (Unreliable)
"Muhlenberg County, KY",21177,Black or African American,2054-5,Male,M,7,198,3535.4 (Unreliable)
"Muhlenberg County, KY",21177,Black or African American,2054-5,,,13,482,2697.1 (Unreliable)
"Muhlenberg County, KY",21177,White,2106-3,Female,F,74,7269,1018
"Muhlenberg County, KY",21177,White,2106-3,Male,M,90,6299,1428.8
"Muhlenberg County, KY",21177,White,2106-3,,,164,13568,1208.7
"Muhlenberg County, KY",21177,,,,,177,14067,1258.3
"Nelson County, KY",21179,Black or African American,2054-5,Female,F,5,353,1416.4 (Unreliable)
"Nelson County, KY",21179,Black or African American,2054-5,Male,M,3,280,1071.4 (Unreliable)
"Nelson County, KY",21179,Black or African American,2054-5,,,8,633,1263.8 (Unreliable)
"Nelson County, KY",21179,White,2106-3,Female,F,41,5275,777.3
"Nelson County, KY",21179,White,2106-3,Male,M,59,4572,1290.5
"Nelson County, KY",21179,White,2106-3,,,100,9847,1015.5
"Nelson County, KY",21179,,,,,108,10493,1029.3
"Nicholas County, KY",21181,White,2106-3,Female,F,21,1727,1216
"Nicholas County, KY",21181,White,2106-3,Male,M,23,1496,1537.4
"Nicholas County, KY",21181,White,2106-3,,,44,3223,1365.2
"Nicholas County, KY",21181,,,,,44,3279,1341.9
"Ohio County, KY",21183,Black or African American,2054-5,Male,M,2,44,4545.5 (Unreliable)
"Ohio County, KY",21183,Black or African American,2054-5,,,2,101,1980.2 (Unreliable)
"Ohio County, KY",21183,White,2106-3,Female,F,47,4947,950.1
"Ohio County, KY",21183,White,2106-3,Male,M,61,4515,1351.1
"Ohio County, KY",21183,White,2106-3,,,108,9462,1141.4
"Ohio County, KY",21183,,,,,110,9574,1148.9
"Oldham County, KY",21185,Black or African American,2054-5,Male,M,1,252,396.8 (Unreliable)
"Oldham County, KY",21185,Black or African American,2054-5,,,1,383,261.1 (Unreliable)
"Oldham County, KY",21185,White,2106-3,Female,F,26,4483,580
"Oldham County, KY",21185,White,2106-3,Male,M,32,4927,649.5
"Oldham County, KY",21185,White,2106-3,,,58,9410,616.4
"Oldham County, KY",21185,,,,,59,9815,601.1
"Owen County, KY",21187,White,2106-3,Female,F,23,2103,1093.7
"Owen County, KY",21187,White,2106-3,Male,M,22,1977,1112.8
"Owen County, KY",21187,White,2106-3,,,45,4080,1102.9
"Owen County, KY",21187,,,,,45,4195,1072.7
"Owsley County, KY",21189,White,2106-3,Female,F,10,1216,822.4 (Unreliable)
"Owsley County, KY",21189,White,2106-3,Male,M,14,1211,1156.1 (Unreliable)
"Owsley County, KY",21189,White,2106-3,,,24,2427,988.9
"Owsley County, KY",21189,,,,,24,2433,986.4
"Pendleton County, KY",21191,Black or African American,2054-5,Female,F,1,13,7692.3 (Unreliable)
"Pendleton County, KY",21191,Black or African American,2054-5,,,1,22,4545.5 (Unreliable)
"Pendleton County, KY",21191,White,2106-3,Female,F,26,2478,1049.2
"Pendleton County, KY",21191,White,2106-3,Male,M,40,2184,1831.5
"Pendleton County, KY",21191,White,2106-3,,,66,4662,1415.7
"Pendleton County, KY",21191,,,,,67,4688,1429.2
"Perry County, KY",21193,Black or African American,2054-5,Female,F,3,139,2158.3 (Unreliable)
"Perry County, KY",21193,Black or African American,2054-5,Male,M,2,103,1941.7 (Unreliable)
"Perry County, KY",21193,Black or African American,2054-5,,,5,242,2066.1 (Unreliable)
"Perry County, KY",21193,White,2106-3,Female,F,57,6419,888
"Perry County, KY",21193,White,2106-3,Male,M,77,5736,1342.4
"Perry County, KY",21193,White,2106-3,,,134,12155,1102.4
"Perry County, KY",21193,,,,,139,12418,1119.3
"Pike County, KY",21195,White,2106-3,Female,F,141,15445,912.9
"Pike County, KY",21195,White,2106-3,Male,M,193,14227,1356.6
"Pike County, KY",21195,White,2106-3,,,334,29672,1125.6
"Pike County, KY",21195,,,,,334,29860,1118.6
"Powell County, KY",21197,White,2106-3,Female,F,15,2140,700.9 (Unreliable)
"Powell County, KY",21197,White,2106-3,Male,M,14,2010,696.5 (Unreliable)
"Powell County, KY",21197,White,2106-3,,,29,4150,698.8
"Powell County, KY",21197,,,,,29,4206,689.5
"Pulaski County, KY",21199,Black or African American,2054-5,Female,F,2,140,1428.6 (Unreliable)
"Pulaski County, KY",21199,Black or African American,2054-5,Male,M,3,108,2777.8 (Unreliable)
"Pulaski County, KY",21199,Black or African American,2054-5,,,5,248,2016.1 (Unreliable)
"Pulaski County, KY",21199,White,2106-3,Female,F,109,10625,1025.9
"Pulaski County, KY",21199,White,2106-3,Male,M,125,9379,1332.8
"Pulaski County, KY",21199,White,2106-3,,,234,20004,1169.8
"Pulaski County, KY",21199,,,,,239,20278,1178.6
"Robertson County, KY",21201,White,2106-3,Female,F,3,572,524.5 (Unreliable)
"Robertson County, KY",21201,White,2106-3,Male,M,14,541,2587.8 (Unreliable)
"Robertson County, KY",21201,White,2106-3,,,17,1113,1527.4 (Unreliable)
"Robertson County, KY",21201,,,,,17,1121,1516.5 (Unreliable)
"Rockcastle County, KY",21203,White,2106-3,Female,F,27,3142,859.3
"Rockcastle County, KY",21203,White,2106-3,Male,M,43,2886,1490
"Rockcastle County, KY",21203,White,2106-3,,,70,6028,1161.2
"Rockcastle County, KY",21203,,,,,70,6047,1157.6
"Rowan County, KY",21205,White,2106-3,Female,F,25,3437,727.4
"Rowan County, KY",21205,White,2106-3,Male,M,40,3079,1299.1
"Rowan County, KY",21205,White,2106-3,,,65,6516,997.5
"Rowan County, KY",21205,,,,,65,6553,991.9
"Russell County, KY",21207,Black or African American,2054-5,Female,F,1,26,3846.2 (Unreliable)
"Russell County, KY",21207,Black or African American,2054-5,,,1,48,2083.3 (Unreliable)
"Russell County, KY",21207,White,2106-3,Female,F,35,3434,1019.2
"Russell County, KY",21207,White,2106-3,Male,M,55,3014,1824.8
"Russell County, KY",21207,White,2106-3,,,90,6448,1395.8
"Russell County, KY",21207,,,,,91,6503,1399.4
"Scott County, KY",21209,Black or African American,2054-5,Female,F,4,377,1061.0 (Unreliable)
"Scott County, KY",21209,Black or African American,2054-5,Male,M,3,297,1010.1 (Unreliable)
"Scott County, KY",21209,Black or African American,2054-5,,,7,674,1038.6 (Unreliable)
"Scott County, KY",21209,White,2106-3,Female,F,41,4227,970
"Scott County, KY",21209,White,2106-3,Male,M,40,3830,1044.4
"Scott County, KY",21209,White,2106-3,,,81,8057,1005.3
"Scott County, KY",21209,,,,,88,8752,1005.5
"Shelby County, KY",21211,Black or African American,2054-5,Female,F,7,490,1428.6 (Unreliable)
"Shelby County, KY",21211,Black or African American,2054-5,Male,M,7,404,1732.7 (Unreliable)
"Shelby County, KY",21211,Black or African American,2054-5,,,14,894,1566.0 (Unreliable)
"Shelby County, KY",21211,White,2106-3,Female,F,54,4939,1093.3
"Shelby County, KY",21211,White,2106-3,Male,M,73,4465,1634.9
"Shelby County, KY",21211,White,2106-3,,,127,9404,1350.5
"Shelby County, KY",21211,,,,,141,10308,1367.9
"Simpson County, KY",21213,Black or African American,2054-5,Female,F,4,333,1201.2 (Unreliable)
"Simpson County, KY",21213,Black or African American,2054-5,Male,M,8,275,2909.1 (Unreliable)
"Simpson County, KY",21213,Black or African American,2054-5,,,12,608,1973.7 (Unreliable)
"Simpson County, KY",21213,White,2106-3,Female,F,36,3160,1139.2
"Simpson County, KY",21213,White,2106-3,Male,M,45,2636,1707.1
"Simpson County, KY",21213,White,2106-3,,,81,5796,1397.5
"Simpson County, KY",21213,,,,,93,6411,1450.6
"Spencer County, KY",21215,Black or African American,2054-5,Male,M,1,40,2500.0 (Unreliable)
"Spencer County, KY",21215,Black or African American,2054-5,,,1,88,1136.4 (Unreliable)
"Spencer County, KY",21215,White,2106-3,Female,F,7,1224,571.9 (Unreliable)
"Spencer County, KY",21215,White,2106-3,Male,M,18,1236,1456.3 (Unreliable)
"Spencer County, KY",21215,White,2106-3,,,25,2460,1016.3
"Spencer County, KY",21215,,,,,26,2553,1018.4
"Taylor County, KY",21217,Black or African American,2054-5,Female,F,5,266,1879.7 (Unreliable)
"Taylor County, KY",21217,Black or African American,2054-5,Male,M,3,214,1401.9 (Unreliable)
"Taylor County, KY",21217,Black or African American,2054-5,,,8,480,1666.7 (Unreliable)
"Taylor County, KY",21217,White,2106-3,Female,F,37,4728,782.6
"Taylor County, KY",21217,White,2106-3,Male,M,54,4133,1306.6
"Taylor County, KY",21217,White,2106-3,,,91,8861,1027
"Taylor County, KY",21217,,,,,99,9352,1058.6
"Todd County, KY",21219,Black or African American,2054-5,Female,F,6,343,1749.3 (Unreliable)
"Todd County, KY",21219,Black or African American,2054-5,Male,M,4,266,1503.8 (Unreliable)
"Todd County, KY",21219,Black or African American,2054-5,,,10,609,1642.0 (Unreliable)
"Todd County, KY",21219,White,2106-3,Female,F,18,2562,702.6 (Unreliable)
"Todd County, KY",21219,White,2106-3,Male,M,33,2304,1432.3
"Todd County, KY",21219,White,2106-3,,,51,4866,1048.1
"Todd County, KY",21219,,,,,61,5488,1111.5
"Trigg County, KY",21221,Black or African American,2054-5,Female,F,3,249,1204.8 (Unreliable)
"Trigg County, KY",21221,Black or African American,2054-5,Male,M,3,209,1435.4 (Unreliable)
"Trigg County, KY",21221,Black or African American,2054-5,,,6,458,1310.0 (Unreliable)
"Trigg County, KY",21221,White,2106-3,Female,F,18,2215,812.6 (Unreliable)
"Trigg County, KY",21221,White,2106-3,Male,M,26,2031,1280.2
"Trigg County, KY",21221,White,2106-3,,,44,4246,1036.3
"Trigg County, KY",21221,,,,,50,4710,1061.6
"Trimble County, KY",21223,White,2106-3,Female,F,13,1391,934.6 (Unreliable)
"Trimble County, KY",21223,White,2106-3,Male,M,12,1310,916.0 (Unreliable)
"Trimble County, KY",21223,White,2106-3,,,25,2701,925.6
"Trimble County, KY",21223,,,,,25,2701,925.6
"Union County, KY",21225,Black or African American,2054-5,Female,F,3,237,1265.8 (Unreliable)
"Union County, KY",21225,Black or African American,2054-5,Male,M,9,201,4477.6 (Unreliable)
"Union County, KY",21225,Black or African American,2054-5,,,12,438,2739.7 (Unreliable)
"Union County, KY",21225,White,2106-3,Female,F,38,3181,1194.6
"Union County, KY",21225,White,2106-3,Male,M,48,2730,1758.2
"Union County, KY",21225,White,2106-3,,,86,5911,1454.9
"Union County, KY",21225,,,,,98,6363,1540.2
"Warren County, KY",21227,Black or African American,2054-5,Female,F,17,1021,1665.0 (Unreliable)
"Warren County, KY",21227,Black or African American,2054-5,Male,M,19,854,2224.8 (Unreliable)
"Warren County, KY",21227,Black or African American,2054-5,,,36,1875,1920
"Warren County, KY",21227,White,2106-3,Female,F,127,13183,963.4
"Warren County, KY",21227,White,2106-3,Male,M,118,11313,1043
"Warren County, KY",21227,White,2106-3,,,245,24496,1000.2
"Warren County, KY",21227,,,,,281,26456,1062.1
"Washington County, KY",21229,Black or African American,2054-5,Female,F,1,198,505.1 (Unreliable)
"Washington County, KY",21229,Black or African American,2054-5,Male,M,5,167,2994.0 (Unreliable)
"Washington County, KY",21229,Black or African American,2054-5,,,6,365,1643.8 (Unreliable)
"Washington County, KY",21229,White,2106-3,Female,F,39,2329,1674.5
"Washington County, KY",21229,White,2106-3,Male,M,32,1977,1618.6
"Washington County, KY",21229,White,2106-3,,,71,4306,1648.9
"Washington County, KY",21229,,,,,77,4678,1646
"Wayne County, KY",21231,Black or African American,2054-5,Female,F,1,71,1408.5 (Unreliable)
"Wayne County, KY",21231,Black or African American,2054-5,Male,M,1,68,1470.6 (Unreliable)
"Wayne County, KY",21231,Black or African American,2054-5,,,2,139,1438.8 (Unreliable)
"Wayne County, KY",21231,White,2106-3,Female,F,35,3788,924
"Wayne County, KY",21231,White,2106-3,Male,M,44,3379,1302.2
"Wayne County, KY",21231,White,2106-3,,,79,7167,1102.3
"Wayne County, KY",21231,,,,,81,7319,1106.7
"Webster County, KY",21233,Black or African American,2054-5,Male,M,1,158,632.9 (Unreliable)
"Webster County, KY",21233,Black or African American,2054-5,,,1,398,251.3 (Unreliable)
"Webster County, KY",21233,White,2106-3,Female,F,49,3451,1419.9
"Webster County, KY",21233,White,2106-3,Male,M,59,2963,1991.2
"Webster County, KY",21233,White,2106-3,,,108,6414,1683.8
"Webster County, KY",21233,,,,,109,6823,1597.5
"Whitley County, KY",21235,Black or African American,2054-5,Female,F,1,42,2381.0 (Unreliable)
"Whitley County, KY",21235,Black or African American,2054-5,Male,M,1,24,4166.7 (Unreliable)
"Whitley County, KY",21235,Black or African American,2054-5,,,2,66,3030.3 (Unreliable)
"Whitley County, KY",21235,White,2106-3,Female,F,74,7455,992.6
"Whitley County, KY",21235,White,2106-3,Male,M,103,6129,1680.5
"Whitley County, KY",21235,White,2106-3,,,177,13584,1303
"Whitley County, KY",21235,,,,,179,13670,1309.4
"Wolfe County, KY",21237,White,2106-3,Female,F,20,1421,1407.5
"Wolfe County, KY",21237,White,2106-3,Male,M,26,1330,1954.9
"Wolfe County, KY",21237,White,2106-3,,,46,2751,1672.1
"Wolfe County, KY",21237,,,,,46,2755,1669.7
"Woodford County, KY",21239,Black or African American,2054-5,Female,F,5,321,1557.6 (Unreliable)
"Woodford County, KY",21239,Black or African American,2054-5,Male,M,3,263,1140.7 (Unreliable)
"Woodford County, KY",21239,Black or African American,2054-5,,,8,584,1369.9 (Unreliable)
"Woodford County, KY",21239,White,2106-3,Female,F,36,3576,1006.7
"Woodford County, KY",21239,White,2106-3,Male,M,25,3194,782.7
"Woodford County, KY",21239,White,2106-3,,,61,6770,901
"Woodford County, KY",21239,,,,,69,7365,936.9
"Acadia Parish, LA",22001,Black or African American,2054-5,Female,F,23,1970,1167.5
"Acadia Parish, LA",22001,Black or African American,2054-5,Male,M,21,1413,1486.2
"Acadia Parish, LA",22001,Black or African American,2054-5,,,44,3383,1300.6
"Acadia Parish, LA",22001,White,2106-3,Female,F,103,10094,1020.4
"Acadia Parish, LA",22001,White,2106-3,Male,M,99,8701,1137.8
"Acadia Parish, LA",22001,White,2106-3,,,202,18795,1074.8
"Acadia Parish, LA",22001,,,,,246,22200,1108.1
"Allen Parish, LA",22003,Black or African American,2054-5,Female,F,8,916,873.4 (Unreliable)
"Allen Parish, LA",22003,Black or African American,2054-5,Male,M,20,728,2747.3
"Allen Parish, LA",22003,Black or African American,2054-5,,,28,1644,1703.2
"Allen Parish, LA",22003,Other Race,2131-1,Female,F,1,42,2381.0 (Unreliable)
"Allen Parish, LA",22003,Other Race,2131-1,Male,M,2,35,5714.3 (Unreliable)
"Allen Parish, LA",22003,Other Race,2131-1,,,3,77,3896.1 (Unreliable)
"Allen Parish, LA",22003,White,2106-3,Female,F,40,3980,1005
"Allen Parish, LA",22003,White,2106-3,Male,M,38,3481,1091.6
"Allen Parish, LA",22003,White,2106-3,,,78,7461,1045.4
"Allen Parish, LA",22003,,,,,109,9182,1187.1
"Ascension Parish, LA",22005,Black or African American,2054-5,Female,F,19,1887,1006.9 (Unreliable)
"Ascension Parish, LA",22005,Black or African American,2054-5,Male,M,21,1458,1440.3
"Ascension Parish, LA",22005,Black or African American,2054-5,,,40,3345,1195.8
"Ascension Parish, LA",22005,White,2106-3,Female,F,35,7023,498.4
"Ascension Parish, LA",22005,White,2106-3,Male,M,52,6554,793.4
