""AgeGroup""	""Age Group Code""	""Causeofdeath""	""Cause of death Code""	""Year""	""Year Code""	""Race""	""Race Code""	""Gender""	""Gender Code""	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths"
"""15-19 years""	""15-19""	""Acute edema of lung""	""519.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Other""	""519.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Other""	""519.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	215011	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""With hemorrhage only""	""531.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""With hemorrhage only""	""534.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Disorders of gastric motility""	""536.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""With peritonitis""	""540.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""With peritonitis""	""540.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""With peritonitis""	""540.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	222887	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""15-19 years""	""15-19""	""With peritonitis""	""540.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""With peritonitis""	""540.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	221219	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""With peritonitis""	""540.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Of unspecfifed site""	""553.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Regional enteritis""	""563.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Regional enteritis""	""563.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Regional enteritis""	""563.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Unspecified""	""567.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	221219	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified""	""567.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Peritoneal adhesions""	""568""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Acute and subacute necrosis of liver""	""570""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified""	""571.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	2	206553	1.0 (Unreliable)	0.1	3.5	0.7	0.0%"
"""15-19 years""	""15-19""	""Unspecified""	""571.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified""	""571.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	217415	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified""	""571.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Unspecified""	""571.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	221219	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Hepatitis NOS""	""573.0""	""1970""	""1970""	""Black or African American""	""2054-5""	""Female""	""F""	1	7141	14.0 (Unreliable)	0.4	78.0	14.0	0.0%"
"""15-19 years""	""15-19""	""Hepatitis NOS""	""573.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Other and unspecified""	""573.9""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Other and unspecified""	""573.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Acute pancreatitis""	""577.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Acute pancreatitis""	""577.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	221219	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Acute nephritis""	""580""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Chronic nephritis""	""582""	""1970""	""1970""	""Black or African American""	""2054-5""	""Female""	""F""	1	7141	14.0 (Unreliable)	0.4	78.0	14.0	0.0%"
"""15-19 years""	""15-19""	""Chronic nephritis""	""582""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	214660	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Chronic nephritis""	""582""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Chronic nephritis""	""582""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Chronic nephritis""	""582""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	2	224920	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""15-19 years""	""15-19""	""Nephritis, unqualified""	""583""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Chronic pyelonephritis""	""590.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Other pyelonephritis, pyelitis and pyelocystitis""	""590.1""	""1974""	""1974""	""Black or African American""	""2054-5""	""Female""	""F""	1	9223	10.8 (Unreliable)	0.3	60.4	10.8	0.0%"
"""15-19 years""	""15-19""	""Other renal disease""	""593.2""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	219504	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""15-19 years""	""15-19""	""Other renal disease""	""593.2""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Other renal disease""	""593.2""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	221219	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Urinary tract infection NEC""	""599.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Salpingitis and oophoritis, unqualified""	""614""	""1971""	""1971""	""Black or African American""	""2054-5""	""Female""	""F""	1	7736	12.9 (Unreliable)	0.3	72.0	12.9	0.0%"
"""15-19 years""	""15-19""	""Other""	""634.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Delivery complicated by retained placenta""	""652""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	214660	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Of trunk""	""682.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Lupus erythematosus""	""695.4""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Lupus erythematosus""	""695.4""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	214660	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Lupus erythematosus""	""695.4""	""1974""	""1974""	""Black or African American""	""2054-5""	""Female""	""F""	1	9223	10.8 (Unreliable)	0.3	60.4	10.8	0.0%"
"""15-19 years""	""15-19""	""Dermatomyositis""	""716.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	217415	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Myasthenia gravis""	""733.0""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	214660	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Systemic lupus erythematosus""	""734.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Systemic lupus erythematosus""	""734.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Systemic lupus erythematosus""	""734.1""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	4	214660	1.9 (Unreliable)	0.5	4.8	0.9	0.0%"
"""15-19 years""	""15-19""	""Systemic lupus erythematosus""	""734.1""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	217415	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Systemic lupus erythematosus""	""734.1""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	221219	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Scoliosis""	""735.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Scoliosis""	""735.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	221219	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Congenital hydrocephalus""	""742""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Congenital hydrocephalus""	""742""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Microcephalus""	""743.1""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Microcephalus""	""743.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	2	219313	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""15-19 years""	""15-19""	""Neurofibromatosis""	""743.4""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Transposition of great vessels""	""746.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Tetralogy of Fallot""	""746.2""	""1970""	""1970""	""Black or African American""	""2054-5""	""Male""	""M""	1	7073	14.1 (Unreliable)	0.4	78.8	14.1	0.0%"
"""15-19 years""	""15-19""	""Tetralogy of Fallot""	""746.2""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	2	226835	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""15-19 years""	""15-19""	""Ventricular septal defect""	""746.3""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Ventricular septal defect""	""746.3""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	214660	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Ventricular septal defect""	""746.3""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	217415	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Ventricular septal defect""	""746.3""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Atrial septal defect""	""746.4""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Anomalies of heart valve""	""746.6""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Anomalies of heart valve""	""746.6""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Other specified anomalies of heart""	""746.8""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	219504	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""15-19 years""	""15-19""	""Unspecified anomalies of heart""	""746.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified anomalies of heart""	""746.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified anomalies of heart""	""746.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	219504	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""15-19 years""	""15-19""	""Unspecified anomalies of heart""	""746.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	2	217415	0.9 (Unreliable)	0.1	3.3	0.7	0.0%"
"""15-19 years""	""15-19""	""Unspecified anomalies of heart""	""746.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Unspecified anomalies of heart""	""746.9""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Patent ductus arteriosus""	""747.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Anomalies of great veins""	""747.4""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Other anomalies of peripheral vascular system""	""747.6""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Other specified anomalies of circulatory system""	""747.8""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Meckel's diverticulum""	""751.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified anomalies of urinary system""	""753.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified congenital anomaly""	""758.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Other syndromes due to autosomal abnormality""	""759.4""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Other specified syndromes""	""759.8""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Multiple congenital anomalies, unspecified""	""759.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Convulsions""	""780.2""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	209806	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Other ill-defined conditions""	""796.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Other ill-defined conditions""	""796.0""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	214660	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Other ill-defined conditions""	""796.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	219504	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""15-19 years""	""15-19""	""Other unknown and unspecified causes""	""796.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Other unknown and unspecified causes""	""796.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	219504	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""15-19 years""	""15-19""	""Other unknown and unspecified causes""	""796.9""	""1974""	""1974""	""Black or African American""	""2054-5""	""Female""	""F""	1	9223	10.8 (Unreliable)	0.3	60.4	10.8	0.0%"
"""15-19 years""	""15-19""	""Other unknown and unspecified causes""	""796.9""	""1974""	""1974""	""Other Race""	""2131-1""	""Male""	""M""	1	2033	49.2 (Unreliable)	1.2	274.1	49.2	0.0%"
"""15-19 years""	""15-19""	""Other unknown and unspecified causes""	""796.9""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	3	219313	1.4 (Unreliable)	0.3	4.0	0.8	0.0%"
"""15-19 years""	""15-19""	""Other unknown and unspecified causes""	""796.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Railway employee""	""E805.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Pedestrian""	""E805.2""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	222887	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""15-19 years""	""15-19""	""Pedestrian""	""E805.2""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Unspecified person""	""E805.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	206553	0.5 (Unreliable)	0.0	2.7	0.5	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	3	209806	1.4 (Unreliable)	0.3	4.2	0.8	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	5	215011	2.3 (Unreliable)	0.8	5.4	1.0	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	219313	0.5 (Unreliable)	0.0	2.5	0.5	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	2	224920	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1975""	""1975""	""Other Race""	""2131-1""	""Male""	""M""	1	2193	45.6 (Unreliable)	1.2	254.1	45.6	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E810.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	226835	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E810.1""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	2	209806	1.0 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E810.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	210730	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E810.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	215011	0.9 (Unreliable)	0.1	3.4	0.7	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E810.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E810.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	4	219313	1.8 (Unreliable)	0.5	4.7	0.9	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E810.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	224920	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E810.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	2	226835	0.9 (Unreliable)	0.1	3.2	0.6	0.0%"
"""15-19 years""	""15-19""	""Motorcyclist""	""E810.2""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	215011	0.5 (Unreliable)	0.0	2.6	0.5	0.0%"
"""15-19 years""	""15-19""	""Unspecified person""	""E810.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	219504	0.9 (Unreliable)	0.1	3.3	0.6	0.0%"
"""15-19 years""	""15-19""	""Unspecified person""	""E810.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	222887	0.4 (Unreliable)	0.0	2.5	0.4	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1970""	""1970""	""Black or African American""	""2054-5""	""Female""	""F""	1	7141	14.0 (Unreliable)	0.4	78.0	14.0	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	9	206553	4.4 (Unreliable)	2.0	8.3	1.5	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	29	209806	13.8	9.3	19.9	2.6	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	6	210730	2.8 (Unreliable)	1.0	6.2	1.2	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	33	215011	15.3	10.6	21.6	2.7	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	10	214660	4.7 (Unreliable)	2.2	8.6	1.5	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	22	219504	10.0	6.3	15.2	2.1	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	12	217415	5.5 (Unreliable)	2.9	9.6	1.6	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	33	222887	14.8	10.2	20.8	2.6	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	9	219313	4.1 (Unreliable)	1.9	7.8	1.4	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	26	224920	11.6	7.6	16.9	2.3	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	4	221219	1.8 (Unreliable)	0.5	4.6	0.9	0.0%"
"""15-19 years""	""15-19""	""Driver of motor vehicle other than motorcycle""	""E812.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	27	226835	11.9	7.8	17.3	2.3	0.0%"
"""15-19 years""	""15-19""	""Passenger in motor vehicle other than motorcycle""	""E812.1""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	16	206553	7.7 (Unreliable)	4.4	12.6	1.9	0.0%"
